transaction_id,transaction_date,entity,business_unit,cost_center,account_code,account_name,account_category,scenario,amount,currency,source_system
TXN0019127,2023-11-29,Germany,Retail,Sales,6300,Travel & Expenses,OPEX,Actual,-11709.15,EUR,ERP
TXN0009415,2024-01-02,France,Digital,IT & Data,4010,Service Revenue,Revenue,Actual,85525.74,EUR,Planning
TXN0018801,2023-05-17,France,Digital,Marketing,6100,Salaries,OPEX,Actual,-57952.05,EUR,ERP
TXN0003687,2023-03-19,Germany,B2B,Corporate Sales,6200,Cloud & Software,OPEX,Budget,-5585.41,EUR,ERP
TXN0002744,2024-11-23,Germany,Digital,IT & Data,6100,Salaries,OPEX,Actual,-6663.18,EUR,ERP
TXN0001088,2024-12-24,Germany,B2B,Finance,5000,Cost of Goods Sold,COGS,Actual,-11762.19,EUR,ERP
TXN0011039,2024-03-28,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-13927.3,EUR,CRM
TXN0002725,2024-07-31,France,Retail,Sales,6200,Cloud & Software,OPEX,Actual,-15727.04,EUR,ERP
TXN0002044,2024-07-01,France,Digital,Marketing,5000,Cost of Goods Sold,COGS,Budget,-14850.17,EUR,CRM
TXN0013220,2023-01-08,France,Digital,Marketing,6500,Professional Services,OPEX,Budget,-49078.21,EUR,Planning
TXN0017666,2023-03-07,Spain,Retail,Retail Operations,6100,Salaries,OPEX,Budget,-4516.95,EUR,ERP
TXN0004353,2024-02-07,Germany,Retail,Retail Operations,6400,Marketing Spend,OPEX,Budget,-20353.95,EUR,Planning
TXN0017898,2023-11-24,France,B2B,Corporate Sales,5000,Cost of Goods Sold,COGS,Actual,-18807.16,EUR,Planning
TXN0001528,2023-04-12,Germany,B2B,Finance,6100,Salaries,OPEX,Actual,-5383.59,EUR,ERP
TXN0009983,2023-09-08,Germany,B2B,Finance,6300,Travel & Expenses,OPEX,Actual,-3579.2,EUR,ERP
TXN0005793,2023-10-14,Spain,B2B,Corporate Sales,4010,Service Revenue,Revenue,Actual,113864.1,EUR,ERP
TXN0009071,2023-03-25,Germany,Retail,Sales,5000,Cost of Goods Sold,COGS,Budget,-27699.28,EUR,Planning
TXN0003499,2023-03-31,France,B2B,Corporate Sales,6400,Marketing Spend,OPEX,Actual,-1181.85,EUR,ERP
TXN0019228,2023-06-21,France,Retail,Retail Operations,6200,Cloud & Software,OPEX,Actual,-21999.85,EUR,CRM
TXN0012114,2023-04-09,France,Retail,Sales,6300,Travel & Expenses,OPEX,Actual,-5862.63,EUR,CRM
TXN0005291,2024-08-28,Germany,B2B,Finance,4010,Service Revenue,Revenue,Budget,27439.86,EUR,ERP
TXN0017193,2024-12-19,Germany,Retail,Retail Operations,6100,Salaries,OPEX,Budget,-6671.54,EUR,Planning
TXN0012499,2023-06-24,Germany,Retail,Sales,4000,Product Revenue,Revenue,Actual,62323.67,EUR,Planning
TXN0003001,2024-07-22,France,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-19349.11,EUR,ERP
TXN0008869,2024-06-29,France,B2B,Corporate Sales,5000,Cost of Goods Sold,COGS,Budget,-24717.87,EUR,CRM
TXN0014150,2024-08-05,Germany,B2B,Corporate Sales,6400,Marketing Spend,OPEX,Budget,-33437.33,EUR,ERP
TXN0006904,2024-02-13,Spain,Retail,Sales,4000,Product Revenue,Revenue,Actual,35469.46,EUR,CRM
TXN0018368,2024-12-20,Spain,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-28550.28,EUR,ERP
TXN0013080,2024-06-27,France,B2B,Corporate Sales,4010,Service Revenue,Revenue,Actual,49822.52,EUR,CRM
TXN0009144,2024-10-02,Spain,Digital,Marketing,6200,Cloud & Software,OPEX,Actual,-1917.35,EUR,ERP
TXN0002233,2024-11-17,France,B2B,,4010,Service Revenue,Revenue,Budget,55187.21,EUR,ERP
TXN0002251,2024-01-06,France,Retail,Retail Operations,4000,Product Revenue,Revenue,Budget,16028.58,EUR,CRM
TXN0014426,2024-04-26,Germany,B2B,Finance,6300,Travel & Expenses,OPEX,Budget,-19928.7,EUR,ERP
TXN0003063,2023-10-07,Germany,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-9030.17,EUR,CRM
TXN0005928,2024-03-08,Germany,B2B,Corporate Sales,6400,Marketing Spend,OPEX,Actual,-9932.79,EUR,ERP
TXN0007597,2024-04-16,France,Digital,IT & Data,5000,Cost of Goods Sold,COGS,Budget,-12640.55,EUR,ERP
TXN0008597,2024-12-30,France,B2B,Corporate Sales,4000,Product Revenue,Revenue,Budget,12964.28,EUR,ERP
TXN0016326,2023-06-19,France,Retail,Sales,6500,Professional Services,OPEX,Actual,-12451.54,EUR,ERP
TXN0008529,2024-11-09,Germany,Retail,Retail Operations,5000,Cost of Goods Sold,COGS,Actual,-11652.07,EUR,Planning
TXN0010633,2024-01-31,France,Retail,Sales,6100,Salaries,OPEX,Actual,-2603.13,EUR,CRM
TXN0008822,2023-09-29,Germany,Retail,Sales,4000,Product Revenue,Revenue,Budget,34691.88,EUR,Planning
TXN0003169,2024-08-24,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-8491.12,EUR,Planning
TXN0011823,2024-02-19,France,Retail,Retail Operations,4000,Product Revenue,Revenue,Budget,29953.92,EUR,ERP
TXN0017242,2024-11-15,France,B2B,Finance,6100,Salaries,OPEX,Budget,-9910.53,EUR,ERP
TXN0005200,2024-11-25,Germany,B2B,Corporate Sales,6100,Salaries,OPEX,Actual,-5487.77,EUR,CRM
TXN0014580,2023-05-17,Spain,Retail,Sales,5000,Cost of Goods Sold,COGS,Budget,-26535.78,EUR,Planning
TXN0010634,2023-01-30,Spain,Digital,Marketing,4000,Product Revenue,Revenue,Actual,64423.49,EUR,Planning
TXN0019027,2023-01-13,Spain,B2B,Corporate Sales,6300,Travel & Expenses,OPEX,Budget,-1469.38,EUR,ERP
TXN0007672,2023-11-18,Germany,B2B,Corporate Sales,5000,Cost of Goods Sold,COGS,Actual,-15062.96,EUR,ERP
TXN0018714,2024-12-19,Germany,Retail,Sales,5000,Cost of Goods Sold,COGS,Actual,-13238.0,EUR,CRM
TXN0006269,2023-07-20,Spain,Retail,Sales,5000,Cost of Goods Sold,COGS,Budget,-74918.48,EUR,ERP
TXN0002580,2024-02-20,Germany,B2B,Finance,6300,Travel & Expenses,OPEX,Actual,-8437.78,EUR,ERP
TXN0001283,2023-10-15,Germany,B2B,Finance,6200,Cloud & Software,OPEX,Actual,-3947.63,EUR,Planning
TXN0006221,2023-07-25,France,Retail,Sales,4010,Service Revenue,Revenue,Budget,135903.27,EUR,ERP
TXN0007121,2024-01-17,France,Digital,Marketing,4000,Product Revenue,Revenue,Budget,52566.19,EUR,ERP
TXN0016934,2023-10-12,France,Digital,IT & Data,6500,Professional Services,OPEX,Actual,-4426.62,EUR,ERP
TXN0014020,2024-01-22,France,Digital,IT & Data,6400,Marketing Spend,OPEX,Budget,-7011.49,EUR,CRM
